symbol_1,symbol_2,pubmed_ids
ABL1,AGTR1A,16151024
PDCD6IP,UBC,22871113
CASK,CASKIN1,12040031;19523119
ESR1,STUB1,21808025
CD2AP,RET,18753381
EGLN3,WDR83,16407229
NME2,UBC,22871113
CASKIN1,NRXN2,19523119
CYP1A1,HSP90AA1,19401463
PSMC6,UBC,22871113
PI4K2A,UBC,23146885
GCM2,UBC,22871113
AMPH,AP2A1,9259551;16903783;11382783
AMPH,AP2A2,8552632;10430869;17762867
DDB1,UBC,22871113
EPS15,SGIP1,19713939
PLXNB1,RND3,14732713
AKT1,SMAD3,16362038
TIMM8B,UBC,22871113
NTRK1,UBC,18419753
MAP2,MARK1,8631898
CBFB,RUNX2,20197312
KCNA6,UBC,22871113
RHOA,TTC3,17488780
PKN1,ZFAND6,11054541
HIP1,UBC,22871113
CYP3A62,UBC,20819951;12626652
DNM1,GRB2,9259551
SKIL,SMURF2,20386537
REN,TSC1,10807585
IRS1,SQSTM1,22761437
NPLOC4,UFD1L,10811609;22232657
ARHGAP9,MAPK1,17284314
EIF5A,MVK,20167237
ABCD3,ARF6,19686593
C2,PSMD14,9688553
DLG4,GRASP,12586822
APBB1,NEDD4L,19381069
RARA,SP1,22337869
SHC1,SOS1,12008030
GABARAP,GABRG2,10900017
GABARAP,GABRG1,10900017
BAIAP2,EPS8L1,14596909
JAK2,STAT5A,12538627;10757801
NEDD8,UBC,22871113
PEX19,PXMP2,11590176
DACT2,P120CTN,21718540
SMAD3,ZEB1,16824956
NXF7,RAD23B,19182904
EPS15,GRIA1,25023288
TEKT2,UBC,22871113
LDHA,UBC,22871113
GPR37L1,UBC,22871113
CLIC4,DNM1,11563969
GIT1,PXN,12153727
LAPTM4A,UBC,22871113
CCNG1,MDM2,11983168
DACT3,DCO,21718540
APBA1,SNAP25,9395480
UBA3,UBC,22871113
CASKIN1,SIAH1,19523119
PSMC1,UBC,22871113
CALM1,GLP2R,15670850
CYP51,UBC,22871113
ALDOA,DYNLL1,14760703
PSMD14,UBLCP1,21949367
CDC20,MAD2L1,22100920
PSMC3,PSMD7,10657252
ANPEP,LMNB1,9305626
SLC17A7,UBC,22871113
GATA4,SRF,12530967
CCNG1,TP53,11983168
MAPK1,SCNN1G,11805112
MAPK1,SCNN1B,11805112
HES1,PARP1,15607978
SLC24A2,UBC,22871113
DACT1,GSK3A,21718540
DPYSL2,KATNA1,23904609
ATP2B1,UBC,22871113
E2F1,GSK3B,18367454
ITGB2,P2RX7,11707406
CSDA,RALA,15592429
CALCR,CALM1,15670850
AUP1,UBC,22871113
HERC1,RAD23B,19182904
RNF111,SKIL,20386537
DYNLL1,GPHN,14760703
PFKP,UBC,22871113
DYNLL1,PARD3,14760703
SIRPA,UBC,22871113
AGTR1A,GNAQ,17498700
CHEK2,TP53,18162465
MAGI3,NLGN1,15458844
KHDRBS3,SRSF9,11118435
MAGI3,NLGN2,15458844
DAPK3,PAWR,10580117;10602480
AGAP2,HOMER2,14528310
EHD2,SLC2A4,15182197
MAPT,UBC,22871113;23906983
AGAP2,HOMER1,14528310
MYL1,UBC,22871113
INSR,PTPLAD1,25687571
CBL,SH3KBP1,16177060
GPR56,UBC,22871113
PRKCA,SNCA,10407019
HOMER1,TANC1,15673434
CAMK2A,LBR,8598227
L1CAM,TOB2,16554297
MAP1LC3A,TUBA1A,7908909
PHKG1,UBC,22871113
DPYSL2,TUBA1A,12134159
STAM,UBC,22871113
KATNA1,RUFY3,23904609
SIPA1L1,UBC,23850969
NADSYN1,UBC,22871113
CFTR,PRKAA1,10862786
GJA1,PRKCA,10871288
SMURF2,TGFBR1,17347560;20386537
CFTR,PRKAA2,16844684
GRM8,PIAS4,16144832
LRRN1,UBC,22871113
CSNK2A1,GRIN2B,8940188
GRM8,PIAS1,21288202;16144832
GRM8,PIAS3,21288202
GRM8,PIAS2,16144832
GMEB1,UBE2I,11812797
GAD1,UBC,20405034
NEDD4,RAP2A,20159449
RALA,UBC,22871113
RAD23B,USP14,19182904
NUAK1,USP9X,18254724
C2,PSMA3,9688553
C2,PSMA5,9688553
C2,PSMA6,9688553
DCTN2,RAD23B,19182904
FNBP1,WASL,14732713
NGFR,PSEN1,19549834
MIB1,UBE2D2,25931508
HDAC1,HR,12403844
DLGAP2,GRIN2B,7569905
JAK2,SOCS1,14522994
ARC,UBC,22871113
MAP1B,UBC,22871113
RAD23B,RGD1560349,19182904
HYOU1,PDIA4,9006956
PSME1,RAD23B,19182904
GDI1,UBC,22871113
RAC1,TNFRSF12A,14573547
MAPK1-B,PRKCZ,8026469
CAMK2A,RAD23A,20178748
NRP1,VEGFA,17983687
STX5,STXBP1,9395480
UBE2B,UBR2,20080676
MDM2,SLC14A2,18784257
JAK2,STAT1,12538627
USP5,VCP,19182904
ITPR2,UBC,10191279;21071436
NDFIP1,UBC,22871113
KISS1,KISS1R,11457843
CDK2,KRAS,22045811;11384971
ACSBG1,UBC,22871113
ARAF,HRAS,9679960
RASSF1,SKP2,19533683
GRM6,PIAS3,21288202
GRM6,PIAS1,21288202;16144832
MRS6,RAB3A,12972569
P4HB,SOD1,23061969
ARL6IP5,UBC,22871113
STX7,VAMP8,11101518
CTNNBIP1,UBC,22871113
NFYA,SP1,11022037
NDN,RTN4,19386232
BAIAP2,MAGI2,14596909
UBC,UBE2L3,22871113
NLGN2,PDZRN3,15458844
JUN,SMARCD1,11053448
HSPA4L,UBC,22871113
APBA1,CASK,9753324
CACNA1B,UBC,22871113
PKM,UBC,22871113
JDP2,PGR,12101239
PSMC2,TBP,10526239
IRS1,PIK3CG,12538627
RAD23B,THBS4,19182904
STX1A,VAMP2,21266332;22411134
ANKS1B,UBC,22871113
LYN,PDE4D,10571082
SHARPIN,UBC,22253853
SPTAN1,TANC1,15673434
NGFRAP1,TSC1,17355907
DYNLL1,TUBB2B,14760703
BLES03,UBC,22871113
KCNA5,PRKCZ,17699685
HTT,NCOR1,10441327
NEDD4L,TNK2,19144635
DYNLRB1,UBC,22871113
DYRK1A,MAP3K5,22110360
ERLIN2,NCSTN,22771797
MAPKAPK2,TSC2,12582162
FIS1,UBC,22871113
EP300,GTF2B,10893273
DLG4,PDZK1,12063253
UBC,UBL7,22871113
GPHN,MTOR,10325225
CACNA1C,TRIM13,21186355
PLCG1,SNAP91,11779129
CTSD,NTRK1,18419753
ELOVL2,UBC,22871113
UBC,USP25,22871113
GDI2,UBC,22871113
AATF,DAPK3,10580117;10602480
MAP2K2,RGS12,17380122
AMPH,UBC,22871113
AP2A2,EPS15,10430869;17762867
SDCBP,SDCBP2,11152476
PACSIN1,UBC,22871113
RAD23B,UBR4,19182904
LPPR4,UBC,22871113
ESR1,NEDD8,21808025
BCL2L11,DSK2,21378313
GRN,LEP,11068878
HMOX1,UBC,21073519
ARRB2,MLNR,12393857
EIF2S2,EIF5,9395514
DLGAP1,UBC,22871113
ARRB1,GNRHR,11278883
DOK1,RASA1,11970986;7503985;12008030
FCER1G,MAPK1,19356729
BCAR1,PIK3R1,12692262
GRIA1,MYO6,12050163
RNF4,UBC,22842904
PCYT1B,UBC,22871113
PRKCE,SNCA,10407019
DMD,SNTA1,16935300
PPP1R9A,TGOLN2,10514494
DLG4,STXBP1,9395480
RPS27A,UBC,22871113
RQCD1,ZNF335,18180299
TUBB5,UBC,22871113
ARRB1,TRPV4,20650893
CDC37,MAPK7,23428871
MAP2K2,MAPK1-B,8026469
PSAT1,UBC,22871113
KCNB1,STX1A,22411134
ITGB1,TLN1,16935300
GRM4,UBE2I,21288202
SYT1,UBC,22871113
EEF1A1,RAD23B,19182904
SQSTM1,UBC,18174161
EP300,GATA4,20081228;15220332
SDC4,UBC,22871113
RAC1,TUBB2B,8631991
PRKACA,UBC,22871113
KCNQ3,UBC,17322297;22871113
APP,NGFR,19549834
HSPA5,PDIA4,9006956
CREB3L2,UBC,22705851
BCL2L11,TRIM2,21478148
SLC4A3,UBC,22871113
KATNA1,MAP2,23904609
ANPEP,VIM,9305626
CREBBP,RBCK1,15833741
CDKN1B,RCHY1,21959983;21728064
CUL3,UBC,22871113
SMAD2,SOX9,16109717
CADM3,UBC,22871113
SEPT7,UBC,22871113
OLR1644,UBC,22871113
ID3,TCF3,10567574
ACTB,DYNLL1,14760703
TUBA1A,UBC,22871113
PSMD9,TCF3,10567574
AP2A2,EPN1,10430869;12234931;17762867
HBB,UBC,22871113
ATXN10,OGT,16714295
RET,UBC,16525057
EFNB2,PSEN1,16511561
PSMD13,UBC,22871113
PHYHIP,UBC,22871113
CNN1,PRKCA,17487264
HNF4A,MECR,9795230
PRKCG,UBC,22871113
PAFAH1B1,UBC,22871113
PRKCZ,SLC40A1,10477520
EIF2B5,PPP1CA,12624094
DNM1,FCHO2,20448150
EIF4A2,UBC,22871113
TUBB2A,UBC,22871113
PSME3,RAD23B,19182904
GK,UBC,22871113
ADRB2,PRKCG,10753752
SUMO1,TOLLIP,19198660
HSPA12A,UBC,22871113
ACTA1,CNN1,17487264
PSMC3,PSME3,10657252
MAPK1-A,PRKCZ,8026469
CREBBP,POU1F1,9973256
GJC2,UBC,22871113
DACT1,PRKACA,21718540
KAT2B,PARP1,15607978
CCNA1,CDH1,11340163
APOE,UBC,22871113
NR3C1,UBE2I,11812797
DNM1,PPP3CA,14704270
ITPR1,SPTAN1,14593108
SIAH1,SNCAIP,15064394;14506261
MARCH2,STX6,15689499;16428329
NUTF2,UBC,22871113
DACT3,VANGL2,21718540
DACT3,VANGL1,21718540
PGK1,UBC,22871113
INPP5D,SHC1,11970986;12008030
SUMO1,TP53,19819240
TUT1,UBC,22871113
RNF141,UBC,22871113
NSF,UBC,22871113
NEFM,STUB1,21219885
UBXN2B,VCP,17141156
CEND1,UBC,22871113
GRM1,HOMER3,9808458;22486777
GRM1,HOMER2,9808458
GRM1,HOMER1,9808458
TRIM28,UBC,22871113
RPL13A,UBC,22871113
PSME4,RAD23B,19182904
PIAS4,SS18,21454665
PSMD3,RAD23B,19182904
PLCB1,SRSF3,23665500
SEPT3,UBC,22871113
DLG4,DLGAP1,10433268
CSPG4,MPDZ,10967549
NME1,UBC,22871113
CREB1,UBC,20346417;16782881
HSPA8,HSPBP1,15215316
CSNK1A1,UBC,22871113
PRKCD,TIRAP,17161867
SLC6A1,UBC,22871113
DNM1,UBE2I,15123615
PRKCB,UBC,22871113
CALM1,GLP1R,15670850
PPP2R1A,UBC,22871113
NEFM,UBC,22871113
ANKRD13A,UBC,22871113
CUL4A,TCEB1,19037258
CUL4A,TCEB2,19037258
CUL4A,TCEB3,19037258
CCNA1,HIST1H1A,9344597;14985333
PARP1,TLE1,15607978
DYNLL1,GLUD1,14760703
PPL,UBC,22871113
EGFR,SHC1,9722539;12218049
HSPA5,TG,9006956
KLF6,MEF2D,22357862
LRRC57,UBC,22871113
MPRIP,UBC,22871113
SLC12A3,WNK3,24920754
NLGN1,PDZRN3,15458844
GLTP,UBC,22871113
MARCH3,UBC,16428329
DYNLL1,MDH1,14760703
DLG3,NLGN2,15458844
DLG3,NLGN1,15458844
RAB3C,UBC,22871113
SLC8A1,SPTBN1,14593108
MYO6,PAK3,11517222
SLC6A11,UBC,22871113
AP2B1,CLTC,16903783
FLCN,PRKAA1,19914239
HRAS,NTRK1,17380122
RPL30,UBC,22871113
RBM8A,STAU2,15970630
ESYT1,UBC,22871113
CACNB1,NEDD4L,19953087
SCCPDH,UBC,22871113
PRKCZ,RBCK1,9514928
KPNA2,PLCB1,23665500
DBI,UBC,22871113
KIT,UBC,22871113
HMGCR,UBC,22871113
GSTM3,UBC,22871113
HMGB1,UBC,22871113
GRIP1,IGSF4,15458844
NPM1,PARP1,15607978
CORO1C,UBC,22871113
SLC1A3,UBC,22871113
HSPA9,SNCA,16854843
IRS1,PIK3R1,12594288;12960006;7539611;9415395
DOK1,NCK1,11489946
IRS1,PIK3R2,11120660
DYNC1H1,DYNLL1,14760703
CAMK2B,PCM1,21725312
ARRB1,MLNR,12393857
BCKDHB,BCKDK,1377677
DYT10,PICK1,11237868
MSN,UBC,22871113
HSPA8,TTC1,10567422
CAMK2A,PSMA2,19638347
STXBP5,SUMO3,21330375
SCNN1G,UBC,24093724
SYT11,UBC,22871113
MAGI2,SDK2,15458844
CYP1A1,HSPA4,19401463
MATN2,THBS4,10956668
DCTN2,DYNC1I1,21911489
DLG4,SDK2,15458844
EXOC6B,UBC,22871113
BRAF,RGS12,17380122
IGBP1,PPP2CA,20544796
DOK1,SYNGAP1,11489946
CYLD,NTRK1,18174161
CDC27,CDH1,11340163
DRD1,GRIN2A,12408866
CALM1,CSNK2B,8206911
ACTC1,ATXN3,19666135
GJA1,NFKBIA,15777848
MAP6,UBC,22871113
MAPK1,RAC1,19356729
TRAPPC5,UBC,22871113
RPS21,UBC,22871113
EPN1,USP9X,14657369
DLG1,UBC,22871113
DLG4,PDZRN3,17118964
DLGAP2,GRIN2A,7569905
HIPK1,TP53,12702766
DCTN2,UBC,22871113
PLP1,UBC,22871113
DLGAP2,GRIN2D,7569905
AARSD1,UBC,22871113
CUL5,TCEB1,19037258
ELAVL2,UBC,22871113
BIN1,DNM1,9195986;15126636;9182529
NRGN,UBC,22871113
HSP90AA1,STK11,12489981
SLC4A2,UBC,22871113
PTK2,SORBS1,19116150
PTK2B,SOS1,7544443
INSR,PLVAP,25687571
CAMK2G,LRRC7,11160423
NTRK1,RAB7A,18419753
PRKAB1,RAF1,9091312
HIST1H1C,PRKCG,3111527
KRAS,UBC,19533683
MDM2,PPARA,19103650
DLG4,UBC,14642282;22871113
APP,NAE1,14557245
BRDT,ELAVL1,22215678
RBX1,RPS6KB1,18279656
INSR,IRS1,11342531
GRM5,SIAH1,10469171
CHD6,NFE2L2,16314513
ACTA1,KLHL17,12063253
BAD,YWHAB,18779656
FAF1,TRPV1,16510717
MAP3K3,YWHAH,12650640
CRTC2,SIK3,22588126
CRTC2,SIK2,22588126
TTC9C,UBC,22871113
STXBP5,SUMO2,21330375
ARRB2,RAF1,17666399
MAP3K3,YWHAB,12650640
MAP3K3,YWHAE,12650640
MAP3K3,YWHAG,12650640
MAP3K3,YWHAZ,12650640
RAD23B,UBE3A,19182904
DNM1,ITSN1,9813051
MAP3K3,YWHAQ,12650640
EHD4,UBC,22871113
EIF2B5,NEDD4,23707720
INA,UBC,22871113
SAFB,U2AF1,9671816
KAT2B,TNP2,19710011
RBL2,SKP2,19533683
CACNA2D1,SLC8A1,14593108
EFNB2,NCK2,16511561
MYO6,NTRK2,16819522
DLG3,UBC,22871113
GADD45B,SREBF1,24425205
EIF2B5,UBC,23707720
GDU3,MGRN1,24036454
NSG1,UBC,22871113
PRKCG,TRAF6,16079148
PSMC2,PSMC5,10526239
ACTR2,UBC,22871113
NMU,NMUR2,10894543
NMU,NMUR1,10894543
ACVR1,UBC,22871113
CAV1,STRN4,11707266
TBCC,UBC,22871113
CAV1,STRN3,11707266
MAPK7,STUB1,22267842
FGF7,FGFR2,11042206
DGKZ,RBL2,16286473
HBA1,UBC,22871113
TALDO1,UBC,22871113
UBC,XPNPEP1,22871113
GRB2,IRS1,12960006
PITPNA,UBC,22871113
CASKIN1,MYO1B,19523119
HK3,PTGDS,11068878
CTNNB1,UBC,15371442
KSR1,MAP2K1,10409742
KSR1,MAP2K2,10409742
APC,AXIN1,10330181;16815997
ANK2,ATP1A1,14593108
ARPC1A,EXOC7,17086175
PITX2,POU1F1,9685346
RAD23B,UCHL5,19182904
GRB2,IRS2,12960006
FOXM1,HIF1A,24478626
CEBPG,E2F4,12757710
GABRA2,UBC,22871113
PLA2G4A,VIM,10625659
ATR,TP53,18162465
LOC366310,NCBP2,15574332
ATF2,CEBPB,9139739
ATF2,CEBPA,9139739
FMR1,UBC,22357842
APOB,CELF2,11577082
DACT3,DSH,21718540
HIST1H1A,PRKCE,11118818
CAMK2A,HES1,15607978
ADRBK1,HDAC5,16221676
TMEM176B,UBC,22871113
OCRL,RAB14,16902405
CAMLG,TMUB1,22426572
MARCH2,UBC,16428329
CSK,SRC,16511561
PEX1,PEX26,21980954
MDH1,UBC,22871113
RPL6,UBC,22871113
ACTB,BRDT,22215678
DACT1,DACT2,21718540
DACT1,DACT3,21718540
GNB2L1,UBC,22871113
ABCG1,UBC,22871113
HK2,IGFBP4,11068878
PARP1,SFPQ,15607978
PSMC5,RAD23A,20178748
CRK,PXN,11146548;9348226
KDM1A,MYC,20418916
CAV3,DLG1,15277200
RPL9,UBC,22871113
DDI1,UBC,22871113
HIST1H4B,RNF4,11319220
SYT5,UBC,22871113
PLLP,UBC,22871113
AWP1,UBC,21980954
DNAJB1,HSPA8,9920933
SLC14A2,UBC,18784257
KLF4,SMAD2,20375011
KLF4,SMAD3,20375011
SYNGR1,UBC,22871113
RASSF1,UBC,19533683
C2,PSMC4,9688553
PCNA,TNFAIP1,15726626
C2,PSMC2,9688553
C2,PSMC3,9688553
C2,PSMC1,9688553
HOMER2,ITPR1,9808459
RPL4,UBC,22871113
GSN,UBC,22871113
GNB5,UBC,22871113
CAND2,TBP,10441524
CAV2,MLC1,19931615
MBP,PTPN6,17068200
MAPK1,PRKCA,20181831
DNAJB4,UBC,22871113
GPR37,PICK1,24749734
SIK3,YWHAZ,22588126
ATG12,ATG3,18321988
SKP1,UBC,22871113
THRB,ZNHIT3,7776974
FRY,GRASP,12586822
APBB1,APP,9045663
NUP54,NUP62,24574455
CALM1,TSC1,15851513
ANK3,ATP1A1,14593108
CALM1,NOS3,12574113
CLASP2,CLIP1,11290329
CLTA,DAB2,12234931
MLC1,SNTA1,19931615
ADAM15,SGIP1,22167186
TOMM40L,UBC,22871113
NUP62,STAU2,15970630
PSMD3,UBLCP1,21949367
TCEB1,VHL,9341197;9122164;7660122
PIK3CA,PIK3R1,10860857
CFL1,UBC,22871113
CBL,LYN,14531861;8627181
AMPH,TNK2,19144635
MYO1D,UBC,22871113
HSPA4,PEX5,11415446
NCL,SNCA,16854843
GRM1,SIAH1,10469171
ACTB,UBC,22871113
TKT,UBC,22871113
DNM1,UBC,22871113
CALY,UBC,22871113
NECAP1,SYNJ1,17762867
BIN1,UBC,22871113
DLG4,NLGN1,15458844
DLG4,NLGN2,15458844
CNTNAP2,KCNA2,10624965
CDC42,UBC,22871113
GORASP1,UBC,21572988
PDIA4,TG,9006956
LMNA,UBC,22871113
ATP2A2,SLC8A1,14593108
EHD2,PICALM,15182197
MARCH2,VAMP4,15689499
FASN,RAD23B,19182904
CNP,UBC,22871113
TNFRSF8,TRAF5,8999898
MED1,THRB,7776974
EIF2B5,PPP1CC,12624094
RAN,RANGAP1,8978815
ELAVL4,UBC,22871113
SLC6A9,UBC,22871113
UBC,UBR4,22871113
AP2A1,SCYL1,16903783
SUMO3,TRIM28,22082260
CBL,SPRY2,20029031
CDK4,RASSF1,19533683
RAB3A,RPH3AL,11134008
PSMC5,PSMD7,10657252
FBXW8,GORASP1,21572988
RPL19,UBC,22871113
PDE4D,SRC,10571082
PARD3,SMURF1,17906294
SAFB,TRA2B,9671816
CLTC,DAB2,12234931
PARD3,SMURF2,17906294
RAD23B,TGM1,19182904
RAD23B,TGM3,19182904
NRIP1,PPARA,9626662
STK11IP,UBC,22871113
IL1RAP,TOLLIP,19198660
PIAS4,SUMO1,21454665
AMBRA1,PARK2,24879156
CSNK1D,SID4,24055157
MYC,UBC,18779656;15048125
UBC,YWHAB,22871113
MAPRE2,UBC,22871113
GABBR1,UBC,22871113;24114844
BAG1,STUB1,21808025
SH3GL1,SORBS2,15659545
ATXN3,RT1-A2,19666135
TCF3,UBE2I,9013644
MDK,RAF1,9679960
CAMKK2,PRKAA2,16054096
CALR,TAP2,10508608
CALR,TAP1,12047747
MBP,PRKCA,8947489
MVK,UBE2I,20167237
ACTR1B,UBC,22871113
CSNK1G1,UBC,22871113
PIK3R1,THRA,16717100
CRH,CRHR2,9423932
CRH,CRHR1,9423932
GRIK2,KLHL17,17062563
NAPG,UBC,22871113
ATP1A3,SPTAN1,14593108
NEDD4,SLC6A3,16885233
DLG2,SDK2,15458844
HERC2,UBC,22871113
ELK1,SRF,16987998
RAD23B,TTLL1,19182904
NSFL1C,UBC,12411482
NTRK1,SHC1,16246731
GNG7,UBC,22871113
ACP6,UBC,22871113
CAMKV,UBC,22871113
CDC37,KSR1,10409742
ATM,TP53,18162465
HOMER1,SHANK3,10433269
HOMER1,SHANK1,10433269
ANAPC4,UBC,22871113
TACR1,UBC,16849335
RPL3,UBC,22871113
CDKN1B,SKP2,17873289;19533683;19852587
PRKD1,UNC-18,22593072
CAND1,TBP,10526239;8954946
SREBF1,UBA52,24425205
NUP62,NUTF2,10543952
CRHR2,UCN,8612563;11416224;9423932
PDGFRB,SH2B1,12551917
RIMBP2,UBC,22871113
FCHSD2,GRASP,12586822
STX6,UBC,22871113
HSP90AA1,LYN,19356729
PSMD10,RB1,11301474
KATNA1,PGK1,23904609
DTNA,MLC1,19931615
CAV1,CAV2,16904002
BIN2,TNK2,19144635
FOXO1,MDM2,21281824
MARCH2,MARCH3,16428329
KCNAB1,SLC40A1,10477520
EPS15,NECAP2,17762867
EPS15,NECAP1,17762867
ADRBK1,AKT1,16142243
NEDD4,PTEN,20100827
EPOR,JAK2,11493922
CIT,TTC3,17488780
CRKL,MAPK8,9710592
PSMD13,PSMD4,23831032
CAMK2A,UBC,22871113
BCAT1,UBC,22871113
ESR1,NR0B2,10648597
ACTA2,KLHL1,16982692
PRSS56,UBC,22871113
DDAH2,UBC,22871113
GDU5,MGRN1,24036454
CUL3,TCEB2,19037258
CUL3,TCEB1,19037258
DACT3,VANG,21718540
MAP3K14,PEBP1,11585904
RAN,UBC,22871113
SLC1A2,UBC,22871113
HSP90AB1,MAPK7,23428871
ACTB,PLD2,11373276
ACTB,PLD1,11373276
CCNA2,LMNB1,9053846
RAD23B,TPI1,19182904
KLF4,RARA,22337869
ITCH,UBC,22871113
NSFL1C,RAD23B,19182904
DACT1,PRKCA,21718540
UBC,UBE2O,22871113
UBC,UBE2N,22871113
AP2B1,SCYL1,16903783
ADCY7,UBC,22871113
IKBKB,PEBP1,11585904
EPB41L2,SPTAN1,11274145
CSNK1D,SNAPIN,17101137
DPYSL4,UBC,22871113
ATXN3,VCP,19666135
